Month (YYYY-MM),Total (£),Relevant URLs (space separated)
2014-06,104064920.54,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-06.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-07.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-08.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-09.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-10.csv
2014-07,113815958.19,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-07.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-08.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-09.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-10.csv
2014-08,97819093.98,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-08.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-09.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-10.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-11.csv
2014-09,110295350.95,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-09.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-10.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-11.csv
2014-10,112972727.50,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-08-10T14%3A22%3A02/spending_2015_04.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-10.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-11.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-12.csv
2014-11,94928657.83,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-08-10T14%3A22%3A02/spending_2015_04.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending%20_2015_02.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-11.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-12.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2015-01.csv
2014-12,134878149.81,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-08-10T14%3A22%3A02/spending_2015_04.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending%20_2015_02.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-12.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2015-01.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending_2015_03_clean.csv
2015-01,95519180.28,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-08-10T14%3A22%3A02/spending_2015_04.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending%20_2015_02.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2015-01.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending_2015_03_clean.csv
2015-02,62445984.58,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-08-10T14%3A22%3A02/spending_2015_04.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending%20_2015_02.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending_2015_03_clean.csv
2015-03,86706539.31,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-10-05T13%3A43%3A06/spending_2015_05.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-10-05T13%3A46%3A38/spending_2015_06.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-12-24T08%3A25%3A05/spending_2015_08.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-08-10T14%3A22%3A02/spending_2015_04.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending_2015_03_clean.csv
2015-04,93328853.74,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-10-05T13%3A43%3A06/spending_2015_05.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-10-05T13%3A46%3A38/spending_2015_06.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-10-22T10%3A53%3A17/spending_2015_07.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-12-24T08%3A25%3A05/spending_2015_08.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-08-10T14%3A22%3A02/spending_2015_04.csv
2015-05,110858066.08,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-10-05T13%3A43%3A06/spending_2015_05.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-10-05T13%3A46%3A38/spending_2015_06.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-10-22T10%3A53%3A17/spending_2015_07.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-12-24T08%3A25%3A05/spending_2015_08.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-03-24T08%3A23%3A40/spending_2015_11.csv
2015-06,121421583.15,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-10-05T13%3A46%3A38/spending_2015_06.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-10-22T10%3A53%3A17/spending_2015_07.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-12-24T08%3A25%3A05/spending_2015_08.csv
2015-07,100594325.48,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-10-22T10%3A53%3A17/spending_2015_07.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-12-24T08%3A25%3A05/spending_2015_08.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-03-18T14%3A56%3A02/spending_2015_10.csv
2015-08,103390904.05,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2015-12-24T08%3A25%3A05/spending_2015_08.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-02-19T13%3A10%3A57/spending_2015_09.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-03-18T14%3A56%3A02/spending_2015_10.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-07-13T15%3A55%3A01/spending_2016_05.csv
2015-09,118618235.75,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-02-19T13%3A10%3A57/spending_2015_09.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-03-18T14%3A56%3A02/spending_2015_10.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-03-24T08%3A23%3A40/spending_2015_11.csv
2015-10,119646927.71,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-03-18T14%3A56%3A02/spending_2015_10.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-03-24T08%3A23%3A40/spending_2015_11.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-04-14T08%3A11%3A50/spending_2015_12.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-05-06T13%3A07%3A31/spending_2016_01.csv
2015-11,113014585.51,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-03-24T08%3A23%3A40/spending_2015_11.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-04-14T08%3A11%3A50/spending_2015_12.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-05-06T13%3A07%3A31/spending_2016_01.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-07-13T15%3A55%3A01/spending_2016_05.csv
2015-12,135200834.00,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-04-14T08%3A11%3A50/spending_2015_12.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-05-06T13%3A07%3A31/spending_2016_01.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-05-26T07%3A52%3A43/spending_2016_02.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-06-29T14%3A02%3A55/spending_2016_03.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-07-13T15%3A55%3A01/spending_2016_05.csv
2016-01,98560704.17,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-05-06T13%3A07%3A31/spending_2016_01.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-05-26T07%3A52%3A43/spending_2016_02.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-06-29T14%3A02%3A55/spending_2016_03.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-07-13T15%3A55%3A01/spending_2016_05.csv
2016-02,106658440.77,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-05-26T07%3A52%3A43/spending_2016_02.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-06-29T13%3A34%3A39/spending_2016_04.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-06-29T14%3A02%3A55/spending_2016_03.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-09-01T08%3A04%3A35/spending_2016_07.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-09-28T18%3A02%3A17/spending_2016_08.csv
2016-03,154913456.17,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-06-29T13%3A34%3A39/spending_2016_04.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-06-29T14%3A02%3A55/spending_2016_03.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-07-13T15%3A55%3A01/spending_2016_05.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-09-28T18%3A02%3A17/spending_2016_08.csv
2016-04,99404101.39,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-06-29T13%3A34%3A39/spending_2016_04.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-07-13T15%3A55%3A01/spending_2016_05.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-07-28T08%3A04%3A39/spending_2016_06.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-09-28T18%3A02%3A17/spending_2016_08.csv
2016-05,141677095.89,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-07-13T15%3A55%3A01/spending_2016_05.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-07-28T08%3A04%3A39/spending_2016_06.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-09-01T08%3A04%3A35/spending_2016_07.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-09-28T18%3A02%3A17/spending_2016_08.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-10-21T17%3A40%3A39/spending_2016_09.csv
2016-06,111289037.34,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-07-28T08%3A04%3A39/spending_2016_06.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-09-01T08%3A04%3A35/spending_2016_07.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-09-28T18%3A02%3A17/spending_2016_08.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-10-21T17%3A40%3A39/spending_2016_09.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-30T12%3A28%3A41/spending_2016_10.csv
